Sr.No,Name ,Mail Id,Phone Number ,Age,Gender
1,suyash,suyash@gmail.com,9421516611,12,male
2,veer,veer@gmail.com,9421516622,11,female
3,roshan,roshan@gmail.com,9423335166,18,male
4,tanmay,tanmay@gmail.com,9444215166,19,male
5,atharva,atharva@gmail.com,9424415166,20,male
6,prajakta,prajakta@gmail.com,9425515166,21,female
7,jayashree,jayashree@gmail.com,9421566166,12,female
8,essak,essak@gmail.com,9447215166,22,male
9,vipul,vipul@gmail.com,9427715166,55,male
10,aditya,aditya@gmail.com,9428815166,50,male
11,manasi,manasi@gmail.com,9499215166,42,female
12,vaishnavi,vaishnavi@gmail.com,9410215166,46,female
13,dipika,dipika@gmail.com,9420215166,82,female
14,sampada,sampada@gmail.com,9423015166,7,female
15,kiran,kiran@gmail.com,9504215166,54,male
16,vijay,vijay@gmail.com,9485215166,32,male
17,yash,yash@gmail.com,9425715166,48,male
18,abhi,abhi@gmail.com,9498215166,21,male
19,pratham,pratham@gmail.com,9834215166,12,male
20,sujay,sujay@gmail.com,9421514566,21,male
